Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Sample	Treatment	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5262325	5/3/2017 16:30	2/16/2017 11:47	35950672	8987668000	0	250	5531		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR5262325/SRR5262325.1	SAMN06341015	mock	SRX2566753		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	SRP100048	PRJNA374982	2	374982	SRS1983131	SAMN06341015	simple	9606	Homo sapiens	GSM2492336							no					GEO	SRA538429		public	A694246446BD6FD0A135E5226AA3432B	9ECB324F2911930CF1BF1ED3BF389049
SRR5262326	5/3/2017 16:30	2/16/2017 10:34	1399731	351332481	0	251	207		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR5262326/SRR5262326.1	SAMN06341015	mock	SRX2566753		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	SRP100048	PRJNA374982	2	374982	SRS1983131	SAMN06341015	simple	9606	Homo sapiens	GSM2492336							no					GEO	SRA538429		public	B9522608DD5868418ED9142F2B2E30F7	083016B4F7C38AAC17B865C236CBA16F
SRR5262327	5/3/2017 16:30	2/16/2017 10:55	29912811	7478202750	0	250	4598		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR5262327/SRR5262327.1	SAMN06341014	mock	SRX2566754		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	SRP100048	PRJNA374982	2	374982	SRS1983130	SAMN06341014	simple	9606	Homo sapiens	GSM2492337							no					GEO	SRA538429		public	ECB9B719B6111C8A936ECD399A9BADAF	BE13AC683C11EB0487C7D3A387AB0142
SRR5262328	5/3/2017 16:30	2/16/2017 10:34	1119988	281116988	0	251	165		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR5262328/SRR5262328.1	SAMN06341014	mock	SRX2566754		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	SRP100048	PRJNA374982	2	374982	SRS1983130	SAMN06341014	simple	9606	Homo sapiens	GSM2492337							no					GEO	SRA538429		public	A41963E0ABA44551B542F584BBBEBDC1	940DEA6FF317E099AC71DF4C7CE6F389
SRR5262329	5/3/2017 16:30	2/16/2017 11:35	31669496	7917374000	0	250	4867		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR5262329/SRR5262329.1	SAMN06341013	mock	SRX2566755		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	SRP100048	PRJNA374982	2	374982	SRS1983129	SAMN06341013	simple	9606	Homo sapiens	GSM2492338							no					GEO	SRA538429		public	02D87EF09B3C95B678BA23D693550E84	4B6EFBA9D6F4426DE1831093FCB0DA91
SRR5262330	5/3/2017 16:30	2/16/2017 10:34	1218769	305911019	0	251	179		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR5262330/SRR5262330.1	SAMN06341013	mock	SRX2566755		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	SRP100048	PRJNA374982	2	374982	SRS1983129	SAMN06341013	simple	9606	Homo sapiens	GSM2492338							no					GEO	SRA538429		public	55E493DAA962A58301F1F2273A659DC2	F973093B6DA3E37F36B327863E404174
SRR5262331	5/3/2017 16:30	2/16/2017 10:59	36447774	9111943500	0	250	5563		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR5262331/SRR5262331.1	SAMN06341011	CF25Im KD	SRX2566756		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	SRP100048	PRJNA374982	2	374982	SRS1983132	SAMN06341011	simple	9606	Homo sapiens	GSM2492339							no					GEO	SRA538429		public	0F18D0C5767B46175B286043B63BA262	3A40BC5EE748432AEEDBA9A9D5BF7035
SRR5262332	5/3/2017 16:30	2/16/2017 10:34	1527081	383297331	0	251	225		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR5262332/SRR5262332.1	SAMN06341011	CF25Im KD	SRX2566756		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	SRP100048	PRJNA374982	2	374982	SRS1983132	SAMN06341011	simple	9606	Homo sapiens	GSM2492339							no					GEO	SRA538429		public	EAAE314987D045068869B2F5262A5025	F87BBE785761EFD8685311A158001925
SRR5262333	5/3/2017 16:30	2/16/2017 11:00	26317115	6579278750	0	250	3980		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR5262333/SRR5262333.1	SAMN06341017	CF25Im KD	SRX2566757		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	SRP100048	PRJNA374982	2	374982	SRS1983133	SAMN06341017	simple	9606	Homo sapiens	GSM2492340							no					GEO	SRA538429		public	321A47697A14A90A21DDE3AB6E2A0B9A	E66B39F1AA6D2E1EEBD293B065D18510
SRR5262334	5/3/2017 16:30	2/16/2017 10:34	1149996	288648996	0	251	168		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR5262334/SRR5262334.1	SAMN06341017	CF25Im KD	SRX2566757		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	SRP100048	PRJNA374982	2	374982	SRS1983133	SAMN06341017	simple	9606	Homo sapiens	GSM2492340							no					GEO	SRA538429		public	FD032794396D3860F600220AF1CA5B9C	04F23548E76CE5812FC992B6D12B4027
